booking_id,user_id,session_id,variant,hotel_id,booking_completed,booking_value,nights,guests,room_type,payment_success,cancellation_flag,booking_date
1,5889,3,B,247,yes,342.5,4,1,standard,yes,no,2026-04-25
2,14565,6,A,443,yes,662.05,3,4,deluxe,yes,no,2026-05-13
3,14475,20,B,201,yes,255.2,4,4,deluxe,yes,no,2026-05-06
4,22007,21,B,44,yes,298.59,1,1,standard,yes,no,2026-04-30
5,11247,35,B,384,yes,564.28,4,1,suite,yes,no,2026-05-05
6,15187,36,B,14,yes,400.98,1,2,deluxe,yes,no,2026-05-07
7,18419,49,B,54,yes,301.71,1,2,suite,yes,no,2026-05-05
8,5856,53,A,115,yes,131.09,1,2,standard,yes,no,2026-05-05
9,14417,79,B,403,yes,196.68,6,3,deluxe,yes,no,2026-05-04
10,6068,89,B,137,yes,146.0,2,3,suite,yes,no,2026-04-27
11,14719,90,B,349,yes,359.43,4,3,suite,yes,no,2026-05-08
12,7989,110,B,462,yes,523.55,5,2,standard,yes,no,2026-05-09
13,6581,123,A,135,yes,757.92,1,1,standard,yes,no,2026-05-11
14,6598,148,B,251,yes,291.64,2,4,deluxe,yes,no,2026-05-07
15,8139,169,B,149,yes,139.52,6,3,standard,yes,no,2026-05-04
16,21887,172,A,464,yes,717.77,5,3,standard,yes,no,2026-05-11
17,11272,179,B,478,yes,790.58,3,4,suite,yes,no,2026-04-30
18,7022,186,B,118,yes,449.54,3,4,suite,yes,no,2026-05-04
19,360,189,B,487,yes,476.78,2,2,deluxe,yes,no,2026-05-10
20,4719,190,A,451,yes,211.84,5,4,standard,yes,no,2026-04-28
21,17097,291,B,369,yes,330.88,3,4,suite,yes,no,2026-05-11
22,14803,299,A,352,yes,550.86,1,4,standard,yes,no,2026-05-14
23,7647,303,A,280,yes,327.48,2,4,suite,yes,no,2026-04-29
24,16523,407,B,38,yes,419.53,5,1,suite,yes,no,2026-05-13
25,10230,442,B,271,yes,215.15,3,3,standard,yes,no,2026-04-30
26,17541,446,B,187,yes,758.92,5,2,deluxe,yes,no,2026-04-29
27,18351,457,B,376,yes,277.87,3,3,suite,yes,no,2026-05-09
28,20769,511,B,370,yes,545.22,3,3,suite,yes,no,2026-04-30
29,14664,563,A,402,yes,269.38,4,2,standard,yes,no,2026-05-14
30,3195,606,A,497,yes,191.66,5,4,deluxe,yes,no,2026-05-12
31,20199,622,A,114,yes,355.27,5,4,standard,yes,no,2026-04-27
32,11250,659,B,454,yes,652.83,1,2,standard,yes,no,2026-05-15
33,22148,681,B,364,yes,114.01,6,3,deluxe,yes,no,2026-04-26
34,18970,710,A,168,yes,144.6,2,3,standard,yes,no,2026-05-13
35,20023,719,A,88,yes,527.49,4,1,standard,yes,no,2026-05-14
36,4724,724,B,307,yes,212.57,1,4,standard,yes,no,2026-05-03
37,22244,747,B,82,yes,587.29,4,4,deluxe,yes,no,2026-05-09
38,23163,789,A,175,yes,395.3,4,3,suite,yes,no,2026-05-14
39,21053,806,A,24,yes,797.3,1,2,standard,yes,no,2026-05-13
40,24036,813,A,291,yes,432.28,4,3,suite,yes,no,2026-04-30
41,13465,842,A,422,yes,534.74,5,4,standard,yes,no,2026-05-13
42,12570,851,A,417,yes,642.33,1,3,suite,yes,no,2026-05-04
43,17154,856,A,211,yes,142.4,1,1,standard,yes,no,2026-05-12
44,18195,878,A,239,yes,662.39,4,1,deluxe,yes,no,2026-04-29
45,7297,916,B,373,yes,758.96,6,3,suite,yes,no,2026-05-08
46,8305,923,B,459,yes,598.58,3,4,deluxe,yes,yes,2026-05-02
