session_id,user_id,session_date,device,country,acquisition_channel,session_duration_seconds
1,13056,2026-05-06,tablet,Germany,organic search,1629
2,8738,2026-05-01,mobile,US,direct,1663
3,5889,2026-04-25,tablet,France,organic search,195
4,11359,2026-05-04,mobile,Italy,paid search,572
5,13512,2026-05-13,mobile,UK,direct,1180
6,14565,2026-05-13,mobile,UK,email,1608
7,18095,2026-05-14,mobile,Germany,organic search,1286
8,17667,2026-05-10,desktop,France,paid search,1314
9,8227,2026-04-29,mobile,France,direct,1044
10,13771,2026-05-13,tablet,Germany,referral,1592
11,6052,2026-05-04,desktop,UK,referral,688
12,4341,2026-04-26,tablet,France,referral,1136
13,8344,2026-05-02,desktop,Germany,organic search,1100
14,4935,2026-04-29,desktop,US,organic search,99
15,20629,2026-04-30,desktop,France,referral,352
16,6957,2026-05-03,mobile,UK,direct,1702
17,24772,2026-05-11,desktop,France,direct,1060
18,21207,2026-05-09,tablet,US,referral,608
19,22992,2026-05-15,tablet,Germany,email,346
20,14475,2026-05-06,mobile,Italy,paid search,219
21,22007,2026-04-30,tablet,France,email,1634
22,17615,2026-05-12,desktop,US,email,335
23,22200,2026-05-05,mobile,US,referral,777
24,21569,2026-05-14,tablet,US,email,1436
25,21312,2026-05-12,desktop,France,email,286
26,15118,2026-04-27,mobile,Spain,referral,195
27,24280,2026-04-27,tablet,Germany,direct,1596
28,1016,2026-04-28,mobile,US,organic search,1095
29,16782,2026-04-28,tablet,Germany,referral,1460
30,24324,2026-04-28,desktop,Italy,organic search,1655
31,24072,2026-05-12,desktop,US,organic search,1166
32,1211,2026-05-09,desktop,Italy,email,715
33,13390,2026-05-08,mobile,Italy,direct,126
34,5235,2026-04-25,desktop,UK,email,1653
35,11247,2026-05-05,mobile,Italy,referral,849
36,15187,2026-05-07,desktop,UK,referral,1629
37,2385,2026-05-03,desktop,UK,paid search,1109
38,6497,2026-05-14,desktop,Germany,email,1235
39,15265,2026-05-11,tablet,US,email,811
40,1759,2026-05-05,tablet,UK,direct,666
41,6960,2026-04-25,desktop,Germany,referral,242
42,19443,2026-05-12,tablet,UK,email,578
43,13978,2026-05-07,mobile,US,organic search,805
44,11312,2026-05-11,desktop,UK,paid search,874
45,6389,2026-05-03,desktop,France,direct,360
46,13242,2026-05-10,mobile,Italy,email,1184
47,20868,2026-05-08,mobile,UK,organic search,131
48,23853,2026-04-27,tablet,France,organic search,1238
49,18419,2026-05-05,mobile,Spain,email,764
50,18269,2026-05-06,mobile,Spain,referral,629
51,4566,2026-04-25,desktop,UK,direct,1277
52,9363,2026-05-01,desktop,Italy,email,1114
53,5856,2026-05-05,mobile,Germany,paid search,90
54,24766,2026-05-08,tablet,Germany,direct,856
55,6963,2026-05-12,mobile,Germany,direct,1755
56,8043,2026-05-05,tablet,Germany,direct,1464
57,22174,2026-04-26,mobile,Germany,paid search,735
58,5798,2026-04-26,tablet,France,referral,1059
59,14626,2026-04-27,mobile,UK,paid search,1602
60,21232,2026-05-01,tablet,UK,paid search,1106
61,6811,2026-05-11,desktop,UK,email,1112
62,13072,2026-05-03,tablet,Germany,paid search,1080
63,2214,2026-05-06,mobile,Italy,referral,444
64,23092,2026-05-04,tablet,Germany,organic search,1370
65,2885,2026-05-07,mobile,Spain,organic search,1501
66,13857,2026-04-30,tablet,Italy,paid search,1513
67,2791,2026-04-28,tablet,France,email,908
68,23082,2026-04-27,desktop,Italy,direct,545
69,837,2026-04-25,mobile,Italy,referral,1355
70,14403,2026-04-28,desktop,UK,paid search,402
71,10348,2026-04-27,tablet,UK,organic search,716
72,23646,2026-05-08,desktop,Italy,referral,526
73,23713,2026-04-29,desktop,US,paid search,755
74,11558,2026-05-11,desktop,Spain,direct,1020
75,6929,2026-04-29,mobile,UK,paid search,62
76,12536,2026-05-05,desktop,UK,organic search,84
77,15276,2026-05-11,tablet,Germany,paid search,906
78,550,2026-05-08,tablet,US,paid search,1235
79,14417,2026-05-04,tablet,France,email,1154
80,16996,2026-05-08,tablet,US,paid search,1394
81,10281,2026-05-01,tablet,Germany,organic search,1576
82,22824,2026-05-06,mobile,Germany,paid search,1400
83,23227,2026-04-26,desktop,France,referral,1536
84,9698,2026-05-14,mobile,France,organic search,1644
85,20529,2026-05-10,tablet,US,referral,1402
86,19983,2026-04-29,mobile,US,paid search,949
87,22056,2026-05-09,desktop,Germany,organic search,1014
88,17443,2026-05-05,desktop,Italy,email,1152
89,6068,2026-04-27,tablet,Spain,email,432
90,14719,2026-05-08,tablet,Germany,direct,364
91,14551,2026-04-25,tablet,Spain,paid search,656
92,22597,2026-04-30,desktop,Germany,organic search,1681
93,15238,2026-04-29,tablet,US,referral,1120
94,4888,2026-04-28,desktop,Italy,organic search,680
95,9004,2026-05-02,desktop,US,direct,487
96,9611,2026-04-28,tablet,US,email,1465
97,24896,2026-05-13,desktop,US,direct,830
98,18593,2026-05-12,desktop,UK,organic search,1174
99,20457,2026-05-04,mobile,Spain,organic search,1648
100,5400,2026-04-25,tablet,US,direct,1225
101,19672,2026-05-04,mobile,Germany,paid search,333
102,1626,2026-04-26,tablet,US,referral,1113
103,23421,2026-05-07,tablet,US,organic search,1246
104,14647,2026-05-14,mobile,US,email,291
105,8897,2026-04-25,tablet,Germany,referral,996
106,20135,2026-04-27,desktop,Spain,paid search,1633
107,18915,2026-05-07,mobile,US,referral,553
108,12876,2026-05-11,desktop,US,direct,787
109,3078,2026-05-01,tablet,Germany,paid search,1481
110,7989,2026-05-09,mobile,Germany,referral,629
111,2595,2026-05-07,mobile,Italy,referral,1225
112,7526,2026-04-25,tablet,France,paid search,397
113,12778,2026-05-02,tablet,UK,organic search,1795
114,3939,2026-05-14,desktop,France,organic search,603
115,5465,2026-04-28,mobile,France,email,1306
116,17922,2026-05-02,mobile,France,direct,1041
117,8495,2026-04-30,tablet,UK,direct,185
118,22211,2026-05-15,desktop,Spain,email,103
119,21488,2026-05-06,desktop,Spain,direct,1770
120,10612,2026-05-14,desktop,UK,email,529
