user_id,age_group,gender,country,device,customer_type,acquisition_channel,loyalty_member,signup_date
1,45-54,non-binary,Spain,tablet,new,referral,no,2025-12-29
2,55-64,male,Italy,desktop,returning,organic search,yes,2025-06-07
3,35-44,non-binary,France,tablet,new,email,no,2025-05-04
4,55-64,female,France,desktop,returning,direct,no,2026-02-06
5,55-64,female,UK,desktop,new,direct,no,2025-08-09
6,25-34,non-binary,Spain,desktop,new,direct,no,2025-07-29
7,35-44,non-binary,US,mobile,returning,organic search,yes,2025-07-20
8,35-44,female,US,desktop,new,email,no,2025-06-18
9,35-44,male,Germany,mobile,returning,paid search,yes,2026-02-05
10,55-64,non-binary,Spain,mobile,new,email,no,2025-06-03
11,45-54,male,Spain,mobile,new,email,no,2026-01-12
12,35-44,male,France,desktop,new,referral,no,2026-02-06
13,65+,female,Germany,desktop,returning,email,no,2026-04-06
14,55-64,female,US,desktop,new,organic search,no,2025-11-22
15,25-34,female,Spain,desktop,new,direct,no,2025-05-28
16,45-54,male,Spain,mobile,returning,email,no,2025-12-10
17,65+,female,UK,tablet,new,email,no,2025-10-05
18,65+,female,US,tablet,new,paid search,no,2025-05-07
19,25-34,male,UK,mobile,returning,paid search,yes,2025-05-06
20,45-54,male,Germany,mobile,returning,referral,yes,2025-05-31
21,55-64,male,Spain,tablet,new,paid search,yes,2025-07-18
22,18-24,male,Germany,tablet,returning,referral,no,2025-07-24
23,45-54,non-binary,Italy,tablet,returning,organic search,yes,2025-11-07
24,25-34,female,UK,tablet,returning,direct,no,2025-12-14
25,65+,non-binary,US,tablet,new,paid search,no,2025-05-05
26,55-64,male,Spain,desktop,new,organic search,no,2025-11-28
27,45-54,male,Italy,tablet,returning,direct,yes,2025-07-11
28,18-24,male,Italy,desktop,new,organic search,no,2026-01-28
29,18-24,male,US,desktop,returning,organic search,yes,2026-01-02
30,35-44,male,Germany,mobile,returning,organic search,no,2026-01-22
31,35-44,female,Italy,mobile,returning,organic search,no,2025-11-22
32,25-34,non-binary,France,tablet,new,paid search,yes,2025-10-04
33,45-54,non-binary,US,mobile,returning,email,yes,2025-07-19
34,45-54,female,Italy,tablet,returning,organic search,no,2025-10-16
35,65+,female,US,mobile,returning,direct,no,2025-12-09
36,65+,female,US,mobile,returning,paid search,no,2025-08-11
37,65+,non-binary,Spain,tablet,returning,paid search,yes,2026-03-05
38,35-44,non-binary,Germany,mobile,returning,organic search,yes,2026-03-28
39,45-54,male,Germany,tablet,returning,organic search,no,2025-04-27
40,45-54,non-binary,Spain,mobile,new,direct,no,2026-02-13
41,18-24,non-binary,US,tablet,new,email,no,2026-03-03
42,35-44,female,US,desktop,returning,paid search,yes,2025-06-26
43,55-64,non-binary,France,tablet,returning,organic search,no,2026-01-21
44,35-44,male,Italy,mobile,returning,referral,no,2025-10-06
45,55-64,non-binary,US,desktop,returning,referral,yes,2025-09-04
46,18-24,female,Italy,desktop,new,organic search,yes,2025-08-10
47,25-34,female,UK,tablet,returning,referral,no,2025-06-24
48,45-54,male,Italy,tablet,new,direct,no,2025-07-17
49,18-24,male,US,desktop,new,email,yes,2026-02-15
50,45-54,non-binary,France,tablet,returning,referral,yes,2025-09-02
51,65+,male,UK,tablet,returning,direct,no,2025-06-03
52,25-34,male,France,tablet,returning,referral,no,2025-05-31
53,25-34,female,Italy,mobile,new,direct,yes,2025-09-19
54,18-24,female,France,mobile,new,direct,no,2025-06-01
55,25-34,non-binary,Italy,desktop,new,organic search,yes,2025-09-11
56,55-64,non-binary,Germany,desktop,new,paid search,yes,2026-03-20
57,25-34,non-binary,Italy,desktop,returning,direct,yes,2025-09-05
58,45-54,non-binary,Spain,tablet,returning,referral,no,2025-12-15
59,45-54,female,France,tablet,returning,organic search,no,2025-08-05
60,45-54,non-binary,US,tablet,returning,paid search,no,2026-03-04
